# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.init.bridges.ms,1743797257166000000,1743797262788000000,0
workspaceModel.loading.total.ms,1743797257166000000,1743797262788000000,10
workspaceModel.initializing.ms,1743797257166000000,1743797262788000000,0
workspaceModel.collect.changes.ms,1743797257166000000,1743797262788000000,0
workspaceModel.check.recursive.update.ms,1743797257166000000,1743797262788000000,0
workspaceModel.to.snapshot.ms,1743797257166000000,1743797262788000000,0
workspaceModel.pre.handlers.ms,1743797257166000000,1743797262788000000,0
workspaceModel.updates.precise.ms,1743797257166000000,1743797262788000000,0
workspaceModel.loading.from.cache.ms,1743797257166000000,1743797262788000000,7
workspaceModel.update.unloaded.entities.ms,1743797257166000000,1743797262788000000,0
workspaceModel.replace.project.model.ms,1743797257166000000,1743797262788000000,0
workspaceModel.updates.ms,1743797257166000000,1743797262788000000,0
workspaceModel.updates.count,1743797257166000000,1743797262788000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743797257166000000,1743797262788000000,52445184
FilePageCache.disposedBuffers,1743797257166000000,1743797262788000000,231
FilePageCache.totalPageLoadsUs,1743797257166000000,1743797262788000000,121569
DirectByteBufferAllocator.disposed,1743797257166000000,1743797262788000000,185
DirectByteBufferAllocator.misses,1743797257166000000,1743797262788000000,228
StorageLockContext.competingThreads.max,1743797257166000000,1743797262788000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1743797257166000000,1743797262788000000,0
DirectByteBufferAllocator.reclaimed,1743797257166000000,1743797262788000000,46
FilePageCache.pageLoads,1743797257166000000,1743797262788000000,231
FilePageCache.uncachedFileAccess,1743797257166000000,1743797262788000000,120
DirectByteBufferAllocator.hits,1743797257166000000,1743797262788000000,3
FilePageCache.capacityInBytes,1743797257166000000,1743797262788000000,524288000
StorageLockContext.competingThreads.avg,1743797257166000000,1743797262788000000,0.0
FilePageCache.totalPageDisposalsUs,1743797257166000000,1743797262788000000,331
FilePageCache.maxRegisteredFiles,1743797257166000000,1743797262788000000,612
FilePageCache.pageHits,1743797257166000000,1743797262788000000,0
FilePageCache.pageFastCacheHits,1743797257166000000,1743797262788000000,6600
StorageLockContext.competingThreads.90P,1743797257166000000,1743797262788000000,0
FilePageCache.maxCacheSizeInBytes,1743797257166000000,1743797262788000000,246431744
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743797257166000000,1743797262788000000,52445184
workspaceModel.load.cache.from.file.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743797257166000000,1743797262788000000,0
workspaceModel.save.cache.to.file.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743797257166000000,1743797262788000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1743797257166000000,1743797262788000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743797257166000000,1743797262788000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1743797257166000000,1743797262788000000,0
NonBlockingReadAction.failedExecutionTimeUs,1743797257166000000,1743797262788000000,0
NonBlockingReadAction.finalizedExecutionsCount,1743797257166000000,1743797262788000000,15
AWTEventQueue.dispatchTimeTotalNS,1743797257166000000,1743797262788000000,4543620516
NonBlockingReadAction.finalizedExecutionTimeUs,1743797257166000000,1743797262788000000,179954
NonBlockingReadAction.failedExecutionsCount,1743797257166000000,1743797262788000000,0
FileNameCache.queries,1743797257166000000,1743797262788000000,25399
FileNameCache.fastMisses,1743797257166000000,1743797262788000000,179
FileNameCache.totalMisses,1743797257166000000,1743797262788000000,100
